home_ownership,annual_inc,loan_status,dti,fico_range_low
0,50500.0,1,28.15,670.0
1,90522.0,1,7.82,690.0
0,15168.0,1,29.19,680.0
1,31400.0,0,32.68,675.0
0,52000.0,1,18.56,660.0
0,49639.62,1,21.39,675.0
0,120000.0,1,13.05,705.0
0,65000.0,1,19.96,675.0
0,96000.0,1,9.18,660.0
0,14300.0,1,13.27,680.0
1,44139.0,1,17.48,735.0
0,107000.0,1,16.14,720.0
1,70000.0,1,3.02,755.0
1,47500.0,1,30.44,675.0
1,34680.0,1,16.33,665.0
0,37500.0,1,31.42,715.0
0,98000.0,1,23.41,685.0
0,60000.0,1,22.34,670.0
1,87000.0,1,30.48,675.0
1,20000.0,0,30.25,660.0
1,102000.0,1,9.56,715.0
1,49000.0,1,19.13,690.0
0,50000.0,1,21.96,695.0
0,46000.0,1,23.29,660.0
1,60320.0,1,9.85,700.0
1,40000.0,1,24.27,685.0
0,120000.0,1,19.74,665.0
1,65000.0,1,33.57,690.0
1,65000.0,1,12.09,685.0
1,55000.0,1,26.05,660.0
0,57500.0,1,22.15,665.0
0,40000.0,1,25.71,700.0
1,100000.0,1,19.19,685.0
0,92000.0,1,7.12,690.0
1,50000.0,1,14.62,710.0
0,42000.0,1,16.74,725.0
1,158100.0,1,9.18,750.0
1,75000.0,1,28.29,685.0
0,30675.0,1,25.7,675.0
0,57996.0,1,13.28,690.0
1,29000.0,0,38.29,685.0
0,52000.0,1,15.26,670.0
1,230000.0,1,24.23,705.0
1,136500.0,1,14.87,660.0
1,130000.0,1,1.0,795.0
1,60000.0,1,23.08,680.0
1,42165.0,1,18.22,730.0
1,120000.0,1,6.77,685.0
1,85000.0,1,20.18,750.0
1,25000.0,1,34.66,695.0
1,52000.0,1,22.94,660.0
0,56000.0,1,24.47,670.0
1,96000.0,1,14.7,725.0
1,102000.0,1,10.52,815.0
0,300000.0,1,10.15,695.0
1,17000.0,1,24.58,715.0
0,124000.0,1,26.08,665.0
0,117000.0,1,7.07,660.0
1,70000.0,1,19.68,680.0
1,65000.0,1,25.72,745.0
1,69500.0,0,20.5,680.0
1,105000.0,1,21.31,665.0
1,190000.0,1,21.98,695.0
0,100000.0,1,18.22,685.0
0,83200.0,1,20.16,670.0
1,55800.0,1,11.38,715.0
0,62000.0,1,13.84,700.0
1,265000.0,1,17.1,675.0
0,20000.0,1,31.15,695.0
1,101000.0,1,7.71,685.0
0,61000.0,1,32.15,670.0
1,50000.0,0,23.36,715.0
1,46500.0,1,24.62,710.0
1,120000.0,1,13.06,700.0
1,125000.0,1,19.59,680.0
1,50000.0,1,15.0,670.0
1,100000.0,1,7.94,695.0
1,180000.0,1,19.26,665.0
1,80000.0,1,16.01,670.0
1,85000.0,1,12.68,715.0
