home_ownership,annual_inc,loan_status,dti,fico_range_low
1,75000.0,1,24.34,665.0
1,50000.0,1,10.73,670.0
0,50000.0,1,27.96,670.0
1,85000.0,1,18.82,675.0
1,15000.0,1,47.28,720.0
1,80000.0,1,20.07,715.0
1,42000.0,1,25.63,665.0
1,80000.0,1,32.03,700.0
0,60000.0,0,19.1,660.0
1,33000.0,1,8.95,675.0
0,95000.0,1,22.74,685.0
1,130000.0,1,16.44,715.0
0,32000.0,1,24.83,670.0
1,60000.0,0,24.84,700.0
1,100000.0,1,7.13,750.0
1,79000.0,1,17.23,685.0
1,33000.0,1,26.19,670.0
1,45000.0,1,24.35,725.0
1,98202.0,0,34.95,715.0
1,30000.0,1,14.24,720.0
1,58000.0,1,6.27,695.0
1,43000.0,1,25.15,710.0
0,40000.0,1,31.59,685.0
0,66500.0,1,27.41,660.0
0,21000.0,1,60.23,675.0
1,44000.0,0,22.07,685.0
0,70300.0,1,17.51,745.0
1,65000.0,0,17.65,740.0
0,49453.0,0,28.2,660.0
0,70000.0,1,19.19,750.0
1,90000.0,1,14.73,660.0
1,90000.0,1,23.43,660.0
1,41000.0,1,36.24,665.0
0,100000.0,0,15.13,695.0
0,70000.0,1,10.42,675.0
0,75000.0,1,11.2,700.0
0,90000.0,1,19.41,660.0
0,48083.0,1,16.58,700.0
0,65000.0,1,21.21,685.0
1,42000.0,1,28.51,735.0
0,53000.0,0,21.81,660.0
0,15000.0,1,73.84,680.0
1,70000.0,1,9.96,730.0
1,65000.0,1,1.11,705.0
1,60500.0,0,25.45,660.0
1,45000.0,1,24.99,685.0
1,91000.0,1,10.38,740.0
0,72000.0,0,1.05,760.0
0,34000.0,1,20.68,725.0
0,104000.0,1,9.15,705.0
0,32000.0,1,1.95,675.0
1,70000.0,0,29.3,680.0
0,175000.0,1,15.12,720.0
1,173000.0,1,18.82,715.0
1,15600.0,1,73.54,715.0
1,157000.0,0,16.87,700.0
1,44000.0,1,18.09,675.0
1,150000.0,1,18.34,700.0
1,125000.0,1,9.52,715.0
1,45000.0,1,8.92,745.0
1,51000.0,1,29.32,700.0
1,104000.0,0,18.77,710.0
1,40000.0,1,31.08,670.0
1,79000.0,1,11.12,690.0
1,185000.0,1,22.89,740.0
0,28000.0,0,15.22,715.0
1,69423.0,1,27.01,675.0
0,28500.0,0,28.0,725.0
1,21480.0,1,9.78,735.0
1,90000.0,1,20.6,680.0
