home_ownership,annual_inc,loan_status,dti,fico_range_low
1,38207.0,1,26.11,665.0
1,120000.0,1,9.47,735.0
1,96000.0,1,12.68,680.0
1,100000.0,1,12.83,675.0
1,65000.0,1,22.64,695.0
1,91200.0,1,15.51,815.0
1,55000.0,1,25.59,705.0
1,75000.0,1,25.12,665.0
0,145000.0,1,1.9,790.0
1,42000.0,1,15.14,665.0
1,36000.0,1,27.8,665.0
1,60000.0,1,28.06,675.0
0,77000.0,1,20.62,675.0
0,70000.0,1,2.88,685.0
0,62800.0,1,7.83,680.0
0,30000.0,1,18.08,670.0
0,205000.0,1,15.15,665.0
0,95000.0,1,6.04,695.0
1,30000.0,1,18.77,725.0
1,40000.0,1,26.7,675.0
1,300000.0,1,23.86,755.0
0,30000.0,1,23.72,680.0
1,60000.0,1,15.04,675.0
0,70000.0,1,16.39,760.0
1,125000.0,1,13.8,685.0
1,70500.0,1,26.54,690.0
0,32000.0,1,4.31,665.0
1,60000.0,0,32.64,670.0
0,43655.0,1,28.95,680.0
1,32000.0,1,9.71,670.0
1,87000.0,1,6.31,660.0
1,60000.0,1,9.14,720.0
1,139000.0,1,6.14,700.0
1,100000.0,1,22.0,695.0
0,45000.0,1,11.81,670.0
1,44000.0,1,11.54,760.0
1,154500.0,1,15.26,730.0
0,47300.0,1,31.87,665.0
1,80000.0,1,29.27,695.0
1,150000.0,1,28.57,695.0
1,55000.0,1,29.19,675.0
0,35000.0,1,29.12,690.0
1,40000.0,1,14.4,705.0
1,97000.0,1,10.11,660.0
1,85000.0,1,16.22,685.0
1,80000.0,1,19.72,690.0
1,180000.0,1,11.6,700.0
0,32000.0,1,29.63,700.0
0,115000.0,1,8.29,660.0
0,26280.0,1,23.29,720.0
0,71000.0,1,17.21,660.0
1,195000.0,1,16.26,720.0
0,95000.0,1,7.6,695.0
1,200000.0,1,6.02,705.0
1,59246.0,1,11.36,690.0
0,120000.0,1,9.78,795.0
0,25000.0,1,22.42,750.0
1,66491.0,0,38.48,690.0
1,99000.0,1,19.12,675.0
1,30000.0,1,7.72,775.0
0,42000.0,0,7.23,660.0
0,65000.0,1,17.36,660.0
1,105000.0,1,16.01,660.0
1,85000.0,1,21.83,675.0
1,100000.0,1,15.02,695.0
0,67826.0,1,15.78,690.0
0,47800.0,1,12.1,700.0
1,93000.0,1,17.82,665.0
0,31860.0,1,26.74,720.0
1,83000.0,1,17.07,710.0
1,70000.0,1,11.35,660.0
1,50000.0,1,23.31,680.0
1,46000.0,1,33.71,685.0
1,53500.0,1,15.75,660.0
0,68000.0,1,2.91,665.0
1,45760.0,1,15.24,715.0
0,55000.0,0,15.91,680.0
1,175000.0,0,9.95,705.0
0,30000.0,1,31.12,715.0
0,49201.0,1,6.88,675.0
1,65000.0,1,5.5,735.0
1,49000.0,1,18.39,670.0
1,120000.0,1,14.35,685.0
1,90000.0,1,10.95,715.0
1,120000.0,1,20.8,735.0
1,82000.0,1,8.99,670.0
0,49000.0,1,21.6,660.0
1,70000.0,1,11.73,825.0
1,40000.0,1,22.05,745.0
1,27000.0,1,0.0,690.0
0,50000.0,1,27.15,665.0
0,51000.0,1,8.64,680.0
1,50685.0,1,16.5,685.0
1,113000.0,1,25.08,660.0
1,44500.0,1,10.46,705.0
0,39996.0,1,9.96,695.0
1,65000.0,1,30.26,740.0
0,34382.4,0,20.52,735.0
0,83000.0,1,21.24,690.0
1,150000.0,1,15.33,725.0
1,61800.0,1,8.1,740.0
0,165000.0,0,17.99,665.0
1,60000.0,1,21.74,690.0
1,61784.88,1,30.13,725.0
1,67000.0,1,14.76,740.0
1,148000.0,1,12.19,705.0
0,85000.0,1,15.01,690.0
0,61000.0,1,15.9,680.0
1,54300.0,1,18.34,710.0
0,33000.0,1,1.71,670.0
1,150000.0,1,16.53,725.0
1,110000.0,1,13.65,680.0
1,30000.0,0,13.64,720.0
0,95000.0,1,19.8,670.0
0,50000.0,0,17.11,665.0
1,57000.0,1,11.67,680.0
1,70000.0,1,18.19,715.0
0,79900.0,1,23.1,680.0
0,44000.0,1,32.17,710.0
1,115000.0,1,24.78,770.0
0,24000.0,1,18.4,675.0
0,75000.0,1,26.85,680.0
1,118000.0,1,11.3,705.0
1,48000.0,1,20.0,670.0
0,50000.0,1,13.08,705.0
0,60000.0,1,20.8,775.0
1,71600.0,1,24.91,720.0
1,40000.0,1,22.71,660.0
0,70000.0,1,38.66,700.0
0,176000.0,1,13.31,705.0
0,55000.0,1,11.08,680.0
1,35000.0,1,9.33,770.0
1,250000.0,1,19.71,665.0
0,100000.0,1,11.38,670.0
0,95000.0,1,12.78,690.0
1,75000.0,1,39.06,680.0
1,53000.0,1,13.0,740.0
1,72000.0,1,17.48,670.0
0,43000.0,1,17.61,675.0
1,66000.0,1,24.2,715.0
0,66000.0,0,14.91,660.0
0,40000.0,1,3.09,660.0
1,30000.0,0,28.32,695.0
0,97000.0,1,8.36,660.0
0,250000.0,0,14.07,685.0
1,88300.0,1,24.27,705.0
0,22300.0,1,4.52,680.0
1,50000.0,0,20.74,665.0
0,15000.0,1,14.48,665.0
1,36000.0,1,10.53,710.0
1,65000.0,0,19.41,660.0
1,70000.0,1,15.12,660.0
0,30000.0,1,23.12,680.0
1,50000.0,1,15.12,670.0
1,170000.0,1,9.59,680.0
0,120000.0,1,10.03,665.0
1,65000.0,1,15.82,685.0
1,227000.0,0,17.77,665.0
1,28890.0,1,21.06,690.0
1,65000.0,1,6.17,665.0
1,55200.0,1,33.03,760.0
0,55000.0,1,21.97,675.0
0,52000.0,1,8.49,675.0
1,45000.0,1,6.4,685.0
1,142000.0,1,16.82,690.0
0,58000.0,1,26.59,660.0
1,57000.0,1,35.03,695.0
0,46911.84,0,33.96,680.0
1,100000.0,1,13.23,765.0
1,51000.0,1,33.65,715.0
0,240000.0,1,16.85,690.0
1,80000.0,1,23.01,685.0
0,26000.0,1,28.44,670.0
1,40000.0,0,25.89,695.0
1,88221.0,1,1.9,700.0
1,57000.0,1,25.22,675.0
1,74000.0,0,30.77,685.0
1,40000.0,1,22.65,670.0
0,64329.0,1,5.65,665.0
1,65000.0,1,39.96,670.0
1,53000.0,1,37.91,660.0
1,141800.0,1,18.69,660.0
1,101000.0,1,23.56,695.0
1,140000.0,1,9.79,670.0
1,100000.0,1,31.83,720.0
0,47000.0,1,17.49,665.0
1,45000.0,1,17.84,715.0
1,52000.0,1,12.81,680.0
1,225000.0,1,20.51,705.0
0,60000.0,1,19.71,800.0
1,40000.0,1,13.38,675.0
0,30500.0,1,15.31,665.0
1,45000.0,1,23.97,745.0
1,125000.0,1,19.6,670.0
1,100000.0,1,10.15,705.0
1,40000.0,1,10.83,820.0
0,34000.0,1,31.24,715.0
1,65000.0,1,6.22,660.0
0,68000.0,1,22.54,675.0
0,90000.0,0,33.51,670.0
1,25000.0,1,25.68,665.0
0,35000.0,0,14.95,660.0
0,70000.0,1,15.21,660.0
1,47840.0,1,32.71,660.0
1,130000.0,1,11.63,705.0
1,120000.0,1,7.35,690.0
1,88000.0,1,19.17,695.0
1,38000.0,1,25.36,660.0
1,100000.0,0,5.88,665.0
0,40000.0,0,21.75,680.0
1,42000.0,1,25.29,680.0
1,95000.0,1,35.86,720.0
1,40000.0,1,13.86,710.0
1,84000.0,1,13.83,785.0
1,71522.0,1,12.45,690.0
0,41000.0,1,20.87,680.0
0,68000.0,1,23.72,675.0
0,43000.0,0,23.94,695.0
1,180000.0,1,1.35,720.0
0,58000.0,1,12.06,700.0
1,40500.0,1,17.39,710.0
0,90000.0,1,16.64,690.0
1,110000.0,1,20.51,660.0
1,67536.0,1,22.74,690.0
1,54000.0,1,17.67,725.0
1,75000.0,1,15.01,685.0
0,95000.0,1,16.41,660.0
0,57000.0,1,22.99,715.0
1,50000.0,1,33.8,735.0
0,33000.0,1,22.55,710.0
1,52000.0,1,31.16,675.0
1,51892.0,0,34.02,660.0
1,32000.0,1,22.32,725.0
1,108000.0,1,19.92,710.0
1,30468.0,1,13.58,660.0
0,35000.0,1,25.96,660.0
0,131723.0,1,10.0,690.0
1,110000.0,1,17.95,680.0
1,118000.0,1,10.78,715.0
1,60000.0,1,20.92,660.0
1,39366.88,1,14.97,675.0
1,75000.0,1,27.86,690.0
1,48000.0,1,15.08,690.0
1,32640.0,1,23.97,670.0
0,73000.0,1,6.64,670.0
1,90000.0,1,9.32,755.0
1,65000.0,0,15.62,715.0
1,74000.0,1,17.92,725.0
0,50000.0,1,8.83,675.0
0,37000.0,1,17.81,675.0
